Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
Anonymous,The Beginner's Bible: Timeless Bible Stories,Banned from Libraries and Classrooms,,"Pulley, Kelly",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Anonymous,The Christmas Story: According to the Gospels of Matthew and Luke from the King James Bible,Banned from Libraries and Classrooms,,"Spirin, Gennady",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Anonymous,"The Easter Story: According to the Gospels of Matthew, Luke, and John from the King James Bible",Banned from Libraries and Classrooms,,"Spirin, Gennady",,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Anonymous,The Holy Bible (King James Version),Banned from Libraries and Classrooms,The Gideon's International,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Anonymous,The Holy Bible (King James Version),Banned Pending Investigation,The Gideon's International,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
Anonymous,"The Holy Bible: Revised Standard Version Containing the Old and New Testaments, with the Apocrypha/Deuterocanonical Books",Banned from Libraries and Classrooms,,,,Fontana Religious,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Anonymous,The New American Bible,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Araki, Hirohiko","Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 1",Banned from Libraries,,,"Galloway, Evan",JoJo's Bizarre Adventure,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Araki, Hirohiko","Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 2",Banned from Libraries,,,"Galloway, Evan",JoJo's Bizarre Adventure,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Araki, Hirohiko","Jojo's Bizarre Adventure: Part 1 - Phantom Blood, Vol. 3",Banned from Libraries,,,"Galloway, Evan",JoJo's Bizarre Adventure,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Armentrout, Jennifer L.",Every Last Breath,Banned Pending Investigation,,,,The Dark Elements,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Armentrout, Jennifer L.",From Blood and Ash,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Armentrout, Jennifer L.",From Blood and Ash,Banned Pending Investigation,,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Armentrout, Jennifer L.",Grace and Glory,Banned Pending Investigation,,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Armentrout, Jennifer L.",Kingdom of Flesh and Fire,Banned Pending Investigation,,,,Blood and Ash,Florida,Escambia County Public Schools,Oct-22,Formal Challenge,2022-2023
"Armentrout, Jennifer L.",Kingdom of Flesh and Fire,Banned Pending Investigation,,,,Blood and Ash,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Armentrout, Jennifer L.",Obsidian,Banned Pending Investigation,,,,Lux,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Armentrout, Jennifer L.",Rage and Ruin,Banned Pending Investigation,,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Armentrout, Jennifer L.",Storm and Fury,Banned Pending Investigation,,,,Harbinger,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Armstrong, Kelley",Watcher in the Woods: A Rockton Novel,Banned Pending Investigation,,,,Rockton/Casey Duncan,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Oct-22,Formal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Apr-23,Formal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries,,,,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Arnold, Elana K.",Damsel,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
