Author,Title,Ban Status,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Origin of Challenge,Year
"Ray, Jane",The Story of Christmas: Words from the Gospels of Matthew and Luke,Banned from Libraries and Classrooms,,,,,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
Reader's Digest Editors,Complete Guide to Drawing and Painting,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Reed, Amy",Beautiful,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Oct-22,Formal Challenge,2022-2023
"Reed, Amy",Beautiful,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Reed, Amy",Beautiful,Banned from Libraries and Classrooms,,,,,South Carolina,Horry County Schools,Jun-23,Formal Challenge,2022-2023
"Reed, Amy",Beautiful,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Reed, Amy",Beautiful,Banned Pending Investigation,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Reed, Amy",Beautiful,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Feb-23,Administration,2022-2023
"Reed, Amy",Beautiful,Banned from Libraries and Classrooms,,,,,Virginia,Spotsylvania County Public Schools,Feb-23,Formal Challenge,2022-2023
"Reed, Amy",Beautiful,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Reed, Amy",The Boy and Girl Who Broke the World,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Jun-23,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries,,,,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,,Texas,Belton Independent School District,Oct-22,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Texas,Conroe Independent School District,Spring 2023,Administration,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries,,,,,Utah,Alpine School District,Nov-22,Legislative Action,2022-2023
"Reed, Amy",The Nowhere Girls,Banned from Libraries and Classrooms,,,,,Utah,Canyons School District,AY 2022-2023,Formal Challenge,2022-2023
"Reed, Amy",The Nowhere Girls,Banned Pending Investigation,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Remender, Rick",Deadly Class,Banned Pending Investigation,,"Craig, Wes; Loughridge, Lee",,Deadly Class,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Remender, Rick","Deadly Class, Vol. 1: Reagan Youth",Banned from Libraries and Classrooms,,"Craig, Wesley, Loughridge, Lee",,Deadly Class,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Banned from Libraries and Classrooms,,,,Confessions of Georgia Nicolson,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Banned Pending Investigation,,,,Confessions of Georgia Nicolson,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Banned from Libraries,,,,Confessions of Georgia Nicolson,Michigan,Chippewa Valley Schools,Jan-23,Formal Challenge,2022-2023
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Banned from Libraries and Classrooms,,,,Confessions of Georgia Nicolson,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Rennison, Louise","Angus, Thongs and Full-Frontal Snogging",Banned Pending Investigation,,,,Confessions of Georgia Nicolson,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Rennison, Louise",Dancing in my nuddy-pants: Even further confessions of Georgia Nicolson,Banned from Libraries and Classrooms,,,,Confessions of Georgia Nicolson,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rennison, Louise","On the Bright Side, I'm Now the Girlfriend of a Sex God (Confessions of Georgia Nicolson #2)",Banned from Libraries and Classrooms,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Reynolds, Jason",All American Boys,Banned Pending Investigation,"Kiely, Brendan",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reynolds, Jason",All American Boys,Banned from Libraries and Classrooms,"Kiely, Brendan",,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Reynolds, Jason",All American Boys,Banned from Classrooms,"Kiely, Brendan",,,,Michigan,Cheboygan Area Schools,Feb-23,Informal Challenge,2022-2023
"Reynolds, Jason",All American Boys,Banned from Libraries,"Kiely, Brendan",,,,New York,Mahopac Central School District,Jan-23,Formal Challenge,2022-2023
"Reynolds, Jason",All American Boys,Banned Pending Investigation,"Kiely, Brendan",,,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Reynolds, Jason",Long Way Down,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reynolds, Jason","Stamped (For Kids): Racism, Antiracism, and You",Banned Pending Investigation,"Kendi, Ibram X.; Cherry-Paul, Sonja",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reynolds, Jason","Stamped (For Kids): Racism, Antiracism, and You",Banned from Libraries,"Kendi, Ibram X.; Cherry-Paul, Sonja",,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned Pending Investigation,"Kendi, Ibram X.",,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned from Libraries and Classrooms,"Kendi, Ibram X.",,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned from Libraries,"Kendi, Ibram X.",,,,New York,Mahopac Central School District,Jan-23,Formal Challenge,2022-2023
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned from Libraries,"Kendi, Ibram X.",,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned from Libraries and Classrooms,"Kendi, Ibram X.",,,,South Carolina,Lexington County School District 3,Oct-22,Legislative Action,2022-2023
"Reynolds, Jason","Stamped: Racism, Antiracism, and You",Banned from Libraries and Classrooms,"Kendi, Ibram X.",,,,South Carolina,School District of Pickens County,Sep-22,Unclear,2022-2023
"Reynolds, Jason",Take the Mic: Fictional Stories of Everyday Resistance,Banned Pending Investigation,"Ahmed, Samira; Lewis, L.D.; Stoeve, Ray; Silverman, Laura; Quintero, Sofia; Brown, Keah; Little Badger, Darcie; Sun, Connie; Méndez, Yamile Saied; Morrow, Bethany C.","Pope, Richie",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reynolds, Jason",When I Was the Greatest,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Reynolds, Jason",When I Was the Greatest,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Reynolds, Marilyn",Shut Up!,Banned from Libraries and Classrooms,,,,Hamilton High,Florida,Orange County Public Schools,Mar-23,Formal Challenge,2022-2023
"Rhodes, Jewel Parker",Ghost Boys,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rhodes, Jewel Parker",Ghost Boys,Banned from Classrooms,,,,,Florida,FAU Lab Schools,Mar-23,Administration,2022-2023
"Rhodes, Jewel Parker",Ghost Boys,Banned from Libraries,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Ricciuti, Edward R.",What on Earth Is a Pangolin?,Banned from Libraries and Classrooms,,,,,Florida,School District of Manatee County,Jun-23,Administration,2022-2023
"Rice, Anne",Interview with a Vampire,Banned from Libraries and Classrooms,,,,The Vampire Chronicles,Virginia,Madison County Public Schools,Jan-23,Administration,2022-2023
"Rice, Anne",The Tale of a Body Thief,Banned from Libraries and Classrooms,,,,The Vampire Chronicles,Virginia,Madison County Public Schools,Oct-22,Legislative Action,2022-2023
"Richardson, Justin",And Tango Makes Three,Banned Pending Investigation,"Parnell, Peter","Cole, Henry",,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Richardson, Justin",And Tango Makes Three,Banned Pending Investigation,"Parnell, Peter","Cole, Henry",,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Richardson, Justin",And Tango Makes Three,Banned Pending Investigation,"Parnell, Peter","Cole, Henry",,,Florida,Highlands Schools,Sep-22,Informal Challenge,2022-2023
"Richardson, Justin",And Tango Makes Three,Banned Pending Investigation,"Parnell, Peter","Cole, Henry",,,Florida,Lake County Schools,Fall 2022,Legislative Action,2022-2023
"Richardson, Justin",And Tango Makes Three,Banned Pending Investigation,"Parnell, Peter","Cole, Henry",,,Pennsylvania,Pleasant Valley School District,Jul-22,Informal Challenge,2022-2023
"Richardson, Justin","Christian, the Hugging Lion",Banned Pending Investigation,"Parnell, Peter","Bates, Amy June",,,Florida,School District of Manatee County,Jun-23,Administration,2022-2023
"Riess, Natalie","Space Battle Lunchtime, Vol. 2: A Recipe for Disaster",Banned from Libraries,,,,Space Battle Lunchtime,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Riggs, Ransom",Hollow City: The Graphic Novel,Banned Pending Investigation,,"Jean, Cassandra",,Miss Peregrine's Peculiar Children,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Riordan, Rick",Percy Jackson's Greek Gods,Banned Pending Investigation,,,,Camp Half-Blood Chronicles,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rivera, Gabby",Juliet Takes a Breath,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Rivera, Gabby",Juliet Takes a Breath,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Rivera, Gabby",Juliet Takes a Breath,Banned Pending Investigation,,,,,Florida,St. John's County School District,Jan-23,Formal Challenge,2022-2023
"Rivera, Gabby",Juliet Takes a Breath,Banned Pending Investigation,,,,,Maine,Maine School Administrative District #6,Apr-23,Informal Challenge,2022-2023
"Rivera, Gabby",Juliet Takes a Breath,Banned from Libraries,,,,,Missouri,Lindbergh Schools,Nov-22,Legislative Action,2022-2023
"Roberts, Nora",Bed of Roses,Banned from Libraries and Classrooms,,,,Bride Quartet,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Daring to Dream,Banned from Libraries and Classrooms,,,,Dream,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Finding the Dream,Banned from Libraries and Classrooms,,,,Dream,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Happily Ever After,Banned from Libraries and Classrooms,,,,Bride Quartet,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Holding the Dream,Banned from Libraries and Classrooms,,,,Dream,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Remember When,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Savor the Moment,Banned from Libraries and Classrooms,,,,Bride Quartet,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roberts, Nora",Vision in White,Banned from Libraries and Classrooms,,,,Bride Quartet,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Roddam, George",The Life and Art of Paul Gauguin,Banned Pending Investigation,,"Harasymowicz, Slawa",,The Lives of Great Artists,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Rodi, Robert",Being Transgender,Banned Pending Investigation,"Ross, Laura; Jennings, Kevin",,,Living Proud! Growing Up LGBTQ,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Rodi, Robert",Understanding Sexual Orientation and Gender Identity,Banned Pending Investigation,"Ross, Laura",,,Living Proud! Growing Up LGBTQ,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Roland, Timothy",Detective Dan and the Puzzling Pizza Mystery,Banned from Libraries and Classrooms,,,,Detective Dan,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Roleff, Tamara L.",Gay Marriage (TLR),Banned Pending Investigation,,,,Opposing Viewpoints,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Roleff, Tamara L.",Sex (TLR),Banned from Libraries and Classrooms,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Rooney, Sally",Normal People,Banned Pending Investigation,,,,,Utah,Granite School District,Oct-22,Formal Challenge,2022-2023
"Rooney, Sally",Normal People,Banned Pending Investigation,,,,,Utah,Washington County School District,Jun-23,Administration,2022-2023
"Rooney, Sally",Normal People,Banned Pending Investigation,,,,,Wisconsin,School District of Somerset,Feb-23,Formal Challenge,2022-2023
"Rose, Rachel",Horror in Maryland,Banned from Libraries,,,,Scary States of Mind,Wisconsin,School District of New London,Feb-23,Formal Challenge,2022-2023
"Rosen, L. C.",Jack of Hearts (and other parts),Banned from Libraries and Classrooms,,,,,Tennessee,Wilson County Schools,Dec-22,Formal Challenge,2022-2023
"Rosen, L. C.",Jack of Hearts (and other parts),Banned from Libraries and Classrooms,,,,,Wisconsin,School District of Waukesha,Jan-23,Formal Challenge,2022-2023
"Ross, Edward",Filmish: A Graphic Journey Through Film,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Ross, Stewart",Spirits and Sorcerers,Banned from Libraries and Classrooms,,"Phillipps, Francis",,The Best Tales Ever Told,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Roth, Sally","The Backyard Bird Feeder's Bible: The A-Z Guide to Feeders, Seed Mixes, Projects, and Treats",Banned from Libraries and Classrooms,,,,Rodale Organic Gardening Book,Florida,Brevard Public Schools,Jun-23,Informal Challenge,2022-2023
"Roth, Veronica",Insurgent,Banned Pending Investigation,,,,Divergent,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rowell, Rainbow",Any Way the Wind Blows,Banned from Libraries and Classrooms,,,,Simon Snow,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned from Libraries and Classrooms,,,,,Florida,Santa Rosa County District Schools,May-23,Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned from Libraries and Classrooms,,,,,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned from Libraries,,,,,Michigan,Dearborn Public Schools,Sep-22,Unclear,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned from Libraries,,,,,Texas,Conroe Independent School District,Sep-22,Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned from Libraries,,,,,Texas,Humble Independent School District,Oct-22,Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned from Libraries,,,,,Texas,Keller Independent School District,Feb-23,Formal Challenge,2022-2023
"Rowell, Rainbow",Eleanor & Park,Banned Pending Investigation,,,,,Utah,Granite School District,Nov-22,Formal Challenge,2022-2023
"Rowell, Rainbow",Fangirl,Banned Pending Investigation,,,,Fangirl,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Rowell, Rainbow",Fangirl,Banned from Libraries and Classrooms,,,,Fangirl,Florida,Martin County Schools,Mar-23,Formal Challenge,2022-2023
"Rowell, Rainbow",Fangirl,Banned Pending Investigation,,,,Fangirl,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Rowell, Rainbow",Wayward Son,Banned Pending Investigation,,,,Simon Snow,Florida,Clay County School District,Jul-22,Formal Challenge,2022-2023
"Roy, Arundhati",The God of Small Things,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Roy, Arundhati",The God of Small Things,Banned from Libraries,,,,,Florida,Collier County Public Schools,Mar-23,Administration,2022-2023
"Roy, Arundhati",The God of Small Things,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Rubin, Susan Goldman",Brown v. Board of Education: A Fight for Simple Justice,Banned from Libraries,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Rucka, Greg",Black Magick: Awakening,Banned Pending Investigation,,"Scott, Nicola",,Black Magick,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Rudahl, Sharon",Dangerous Woman: The Graphic Biography of Emma Goldman,Banned from Libraries,,,,,Missouri,Lindbergh Schools,Sep-22,Legislative Action,2022-2023
"Russell, Kate Elizabeth",My Dark Vanessa,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Mar-23,Formal Challenge,2022-2023
"Russo, Meredith",Birthday,Banned from Libraries and Classrooms,,,,,Michigan,Davison Community Schools,Aug-22,Informal Challenge,2022-2023
"Russo, Meredith",Birthday,Banned from Libraries,,,,,Texas,Lake Travis Independent School District,Jan-23,Informal Challenge,2022-2023
"Russo, Meredith",If I Was Your Girl,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rutkoski, Marie",The Midnight Lie,Banned from Libraries and Classrooms,,,,Forgotten Gods,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Rutkoski, Marie",The Midnight Lie,Banned Pending Investigation,,,,Forgotten Gods,Florida,Escambia County Public Schools,Apr-23,Formal Challenge,2022-2023
"Rutkoski, Marie",The Midnight Lie,Banned from Libraries and Classrooms,,,,Forgotten Gods,Florida,Volusia County Schools,Jun-23,Administration,2022-2023
"Ryan, Carrie",The Dark and Hollow Places,Banned from Libraries,,,,The Forest of Hands and Teeth,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Ryan, Carrie",The Dead-Tossed Waves,Banned from Libraries,,,,The Forest of Hands and Teeth,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Ryan, Carrie",The Forest of Hands and Teeth,Banned from Libraries,,,,The Forest of Hands and Teeth,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Ryan, Kennedy",Before I Let Go,Banned Pending Investigation,,,,Skyland,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Rylant, Cynthia","The Beautiful Stories of Life: Six Greeks Myths, Retold",Banned Pending Investigation,,"Ellis, Carson",,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Saad, Layla F.","Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Banned from Libraries and Classrooms,,,,,New York,Somers Central School District,Nov-22,Informal Challenge,2022-2023
Saburouta,"Citrus Plus, Vol. 1",Banned from Libraries,,,,Citrus Plus,Missouri,Independence School District,Oct-22,Legislative Action,2022-2023
Saburouta,"Citrus Plus, Vol. 2",Banned from Libraries,,,,Citrus Plus,Missouri,Independence School District,Oct-22,Legislative Action,2022-2023
"Sachar, Louis",Is He a Girl?,Banned Pending Investigation,,,,Marvin Redpost,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Sachar, Louis",Is He a Girl?,Banned from Libraries and Classrooms,,,,Marvin Redpost,Florida,Hernando County Schools,Jun-23,Formal Challenge,2022-2023
"Sáenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,Banned Pending Investigation,,,,Aristotle and Dante,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Sáenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,Banned from Libraries and Classrooms,,,,Aristotle and Dante,Michigan,Davison Community Schools,Aug-22,Informal Challenge,2022-2023
"Sáenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,Banned from Libraries,,,,Aristotle and Dante,North Carolina,Cumberland County Schools,Apr-23,Administration,2022-2023
"Sáenz, Benjamin Alire",Aristotle and Dante Discover the Secrets of the Universe,Banned Pending Investigation,,,,Aristotle and Dante,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Salisbury, Melinda",The Sleeping Prince,Banned from Libraries,,,,The Sin Eater's Daughter,Texas,Frisco Independent School District,Mar-23,Administration,2022-2023
"Salvatore, Steven",And They Lived...,Banned from Libraries and Classrooms,,,,,Texas,Frisco Independent School District,Oct-22,Administration,2022-2023
"Salvesen, Britt",Harry Callahan: The Photographer at Work,Banned Pending Investigation,,,,,Missouri,Wentzville School District,Sep-22,Legislative Action,2022-2023
"Salzman, Mark",True Notebooks: A Writer's Year at Juvenile Hall,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Samura, Hiroaki","Blade of the Immortal Omnibus, Vol. 3",Banned from Libraries,,,,Blade of the Immortal Omnibus,Missouri,Independence School District,Oct-22,Legislative Action,2022-2023
"Sanchez, Alex",Boyfriends with Girlfriends,Banned Pending Investigation,,,,,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Sanchez, Alex",Rainbow Boys,Banned Pending Investigation,,,,Rainbow Trilogy,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
"Sanchez, Alex",Rainbow Boys,Banned Pending Investigation,,,,Rainbow Trilogy,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Sanchez, Alex",Rainbow Boys,Banned Pending Investigation,,,,Rainbow Trilogy,Idaho,Kuna School District,Feb-23,Administration,2022-2023
"Sanchez, Alex",Rainbow High,Banned Pending Investigation,,,,Rainbow Trilogy,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Sanchez, Alex",Rainbow Road,Banned Pending Investigation,,,,Rainbow Trilogy,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
"Sanchez, Alex",So Hard to Say,Banned from Libraries and Classrooms,,,,,Florida,Duval County Public Schools,Mar-23,Administration,2022-2023
"Sanchez, Alex",The God Box,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,Florida,Clay County School District,Sep-22,Formal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Apr-23,Formal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned from Libraries and Classrooms,,,,,Florida,Martin County Schools,Feb-23,Formal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned from Libraries,,,,,Florida,Volusia County Schools,Jan-23,Administration,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,North Carolina,Pender County Schools,Feb-23,Administration,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,North Dakota,Williston Basin School District #7,Sep-22,Informal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,Oregon,Canby Public School District,Mar-23,Formal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,Pennsylvania,Penncrest School District,Feb-23,Administration,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned Pending Investigation,,,,,South Carolina,Beaufort County School District,Oct-22,Informal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned from Libraries,,,,,Utah,Davis School District,Jan-23,Formal Challenge,2022-2023
"Sánchez, Erika L.",I Am Not Your Perfect Mexican Daughter,Banned from Libraries and Classrooms,,,,,Utah,Washington County School District,Jul-22,Informal Challenge,2022-2023
"Sanchez, Jenny Torres",We Are Not From Here,Banned Pending Investigation,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
"Sanders, Rob",Peaceful Fights for Equal Rights,Banned Pending Investigation,,"Schorr, Jared Andrew",,,Texas,Texarkana Independent School District,Oct-22,Informal Challenge,2022-2023
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned Pending Investigation,,,,,Florida,The School District of Palm Beach County,Jul-22,Legislative Action,2022-2023
"Sanders, Rob",Pride: The Story of Harvey Milk and the Rainbow Flag,Banned from Libraries,,,,,Utah,Ogden School District,Mar-23,Formal Challenge,2022-2023
Sapphire,Push,Banned Pending Investigation,,,,,Colorado,Academy School District 20,May-23,Informal Challenge,2022-2023
Sapphire,Push,Banned from Libraries and Classrooms,,,,,Florida,Clay County School District,AY 2022-2023,Administration/Formal Challenge,2022-2023
Sapphire,Push,Banned Pending Investigation,,,,,Florida,Escambia County Public Schools,Sep-22,Formal Challenge,2022-2023
Sapphire,Push,Banned from Libraries and Classrooms,,,,,Florida,Flagler Schools,Oct-22,Formal Challenge,2022-2023
Sapphire,Push,Banned from Libraries and Classrooms,,,,,Florida,Marion County Public Schools,AY 2022-2023,Formal Challenge,2022-2023
Sapphire,Push,Banned from Libraries and Classrooms,,,,,Florida,Santa Rosa County District Schools,Jun-23,Formal Challenge,2022-2023
Sapphire,Push,Banned from Libraries and Classrooms,,,,,Florida,School District of Manatee County,Jul-22,Legislative Action,2022-2023
Sapphire,Push,Banned from Libraries,,,,,Florida,Seminole County Public Schools,Oct-22,Formal Challenge,2022-2023
